Title,Price,Rating,Brand
"DELL (Upgraded Version) Latitude 7420 Laptop With 14-Inch FHD Display, Core i7-1185G7 Processer/16GB RAM/512GB SSD/Intel Iris Plus Graphics/Windows 10 Pro /International Version English Black","EGP
20,300
20,500",2.3,
DELL Renewed - Core Precision 5550 Laptop With 15.6 Inch Ips Core I7-10850H 32 Gb Ram 1 Tb Ssd 4 Gb Nvidia Quadro T2000 4 Gb English/Arabic Grey,"EGP
53,999",,
"Lenovo IdeaPad Slim 3 15IRH10 Laptop With 15.3 Inch WUXGA (1920x1200) Display, Intel Core i7-13620H Processor/16GB RAM DDR5/1TB SSD/Windows 11/Intel UHD Graphics/ English/Arabic Luna Grey","EGP
55,000",,
"DELL (Upgraded Version) Professional & Business Series Latitude 7410 Laptop With 14-Inch Display, Core i7-10610U Processor/16GB RAM/1TB SSD/Intel XE Graphics/Windows 11 English/Arabic SILVER English/Arabic SILVER","EGP
32,300
81,000
60% OFF",3.8,
"Lenovo Refurbished - Thinkpad L490 Laptop With 14-Inch Display,Intel Core i5 Processor/8th Gen/8GB RAM/256GB SSD/Intel UHD Graphics 620 English Black","EGP
14,299
16,499
13% OFF",3.3,
"HP (Upgraded Version) 14s-DQ2079nia Laptop With 14-Inch HD LED Display, Core i3 1115G4 Processor/4GB RAM/256GB SSD/Intel UHD Graphics/Windows-10 English Black","EGP
61,000",3.9,
"HP (Upgraded Version) 15-fc0047 Laptop With 15.4-Inch Display, AMD Ryzen 5-7520U Processor/8GB RAM/512GB SSD/AMD Radeon Graphics/Windows 11 Home English Silver","EGP
71,000",4.8,
"Lenovo (Upgraded Version) Lenovo Legion Pro 7 16IAX10H Gaming Laptop Intel Core Ultra 9 275HX, 64GB RAM, 2TB SSD, RTX 5080 16GB, 16-inch WQXGA 240Hz,100% sRGB with G-Sync, Win11 English/Arabic black English/Arabic black","EGP
202,777
236,999
14% OFF",,
"HP (Upgraded Version) 2023 Newest 14s Laptop With 14-Inch HD LED Display, Core i3 1115G4 Processor/8GB RAM/512GB SSD/Intel UHD Graphics/Windows-10 English black","EGP
52,500",3.7,
"MSI Vector 16 HX AI A2XWIG CPU Intel® Core™ Ultra 9 275HX, 32GB RAM, 1TB SSD, (NVIDIA® GeForce RTX™ 5080 Laptop GPU, GDDR7 16GB) OS Windows® 11 Home, Cosmos Gray","EGP
168,699",,
"HP (Upgraded Version) Thin Laptop 15-Dy With 15.6-Inch Display, Core i5-1135G7 Processor/16GB RAM/1TB SSD/Intel Iris XE Graphics/Windows 10 English Silver","EGP
67,750",5.0,
"DELL (Upgraded Version) Inspiron 7490-7842SLV Laptop With 14-Inch Full HD Display, Core i7-10510U Processer/8GB RAM/512GB SSD/Intel UHD Graphics/Windows 10 /International Version English Platinum Silver","EGP
93,500",4.1,
"DELL Vostro 3520 Laptop With 15.6-inch FHD (1920x1080) Display, Core i5-1235U Processor/8GB RAM/512GB SSD//Intel UHD Graphics/Windows 10 English/Arabic Black","EGP
27,500
30,302
9% OFF",,
DELL Gdl5391017X Laptop With 15.6 Inch FHD /Core I5-11400H /8 GB Ram /512 GB SSD /4 GB Geforce Rtx 3050 /Free Dos/ English Dark Shadow Black With Casual Leather Laptop Backpack Black English Dark Shadow Black,"EGP
55,370",,
"HP 14-ep0034ne AN1P8EA Laptop With 14-Inch Full HD Display, Intel Core i5-1235u Processor/16GB RAM/1TB SSD/Intel Iris Xe Graphics/Windows 11 Home English/Arabic Natural Silver","EGP
93,500",5.0,
"HP ZBook Fury 15 G7 Laptop With 15.6-Inch Full HD (1920X1080) Display,Core i7-10850H Processor/1TB SSD/32GB RAM DDR4/Windows 10 Pro/NVIDIA ‎Quadro T1200 Graphics English Grey","EGP
43,000",,
HP 15-Dw3170Nia Laptop With 15.6 Inch FHD /Core I7-1165G7 /8 GB Ram /512 GB SSD/ Geforce Mx450 /Free Dos English/Arabic Jet Black With Casual Leather Laptop Backpack Black English/Arabic Jet Black,"EGP
50,070",,
DELL Inspiron 15 Laptop With 15.6 Inch FHD/ Ryzen 7 5800H /16 GB Ram /512 GB SSD /4 GB Geforce Rtx 3050 Ti/ Windows 11 Home /English/Arabic Grey With Casual Leather Laptop Backpack Black English/Arabic Grey,"EGP
57,960",,
"HP Pavilion (Upgraded Version) Laptop With 14-Inch Display, Core i5-1335U Processor/8GB RAM/512GB SSD/Intel Iris XE Graphics/Windows 11 Home English/Arabic Natural Silver","EGP
106,000",5.0,
"HP (Upgraded Version) 14-dq2053cl Laptop With 14-Inch Display, Core i3-1125G4 Processer/8GB RAM/256GB SSD/Intel UHD Graphics/Windows 11 Home English Natural Silver","EGP
50,500",3.9,
"HP (Upgraded Version) ProBook 440 G10 Laptop With 14 Inch FHD Display, Core- i5-1335U Processor/16GB RAM/512GB SSD/Intel Iris Xe Graphics/Windows 11 Pro / English/Arabic Silver","EGP
64,000
109,500
41% OFF",5.0,
"HP (Upgraded Version) 15-dy1010nr 15.6-Inch HD Touchscreen Laptop, 10th Gen Intel Core i3-1005G1, 8 GB SDRAM, 256 GB Solid-State Drive, Windows 11 / English/Arabic Silver","EGP
73,500",4.0,
"HP (Upgraded Version) ProBook 440 G10 14 Notebook With 14-Inch Display, Core i7-1355U Processor/16GB RAM/512GB SSD/Intel Iris XE Graphics/Windows 11 Pro English Silver English Silver","EGP
95,000",5.0,
