asin,name,price_usd,price_egp,image_path,url
B0D4RH9TN7,"HP 255 G10 15.6"" FHD Business Laptop, AMD Ryzen 7 7730U, 16GB RAM, 512GB PCIe SSD, Numeric Keypad, Webcam, Wi-Fi 6, HDMI, Windows 11 Pro, Black",29649.0,1558351.44,global_to_egp_images/B0D4RH9TN7.jpg,https://www.amazon.com/dp/B0D4RH9TN7
B0DN8HHVDS,"Lenovo ThinkPad T14 Gen 6 Business Laptop 14"" FHD+ IPS, Intel Ultra 7 255U, 32GB DDR5 RAM, 512GB SSD, 5MP Webcam, Fingerprint, Backlit, Wi-Fi 6E, 2 Thunderbolt 4, AI PC, W11P",N/A,N/A,global_to_egp_images/B0DN8HHVDS.jpg,https://www.amazon.com/dp/B0DN8HHVDS
B0G73GS1G8,"HP ProBook 465 460 G11 Business Laptop 16” FHD+ Display, AMD Ryzen 5 7535U, 16GB DDR5 RAM, 512GB NVMe, Wi-Fi 6E, RJ-45, Webcam, Backlit Keyboard, Win 11 Pro - Pike Silver Plastic",41535.0,2183079.6,global_to_egp_images/B0G73GS1G8.jpg,https://www.amazon.com/dp/B0G73GS1G8
B0BDLBYQ4G,"Lenovo ThinkPad E16 Business Laptop (16"" FHD+ Touchscreen, Intel 10-Core i7-1355U, 40GB RAM, 1TB SSD) Backlit KB, Fingerprint, 1080P RGB Webcam, Thunderbolt 4, Ethernet, Win 11 Pro w/ AI Copilot",N/A,N/A,global_to_egp_images/B0BDLBYQ4G.jpg,https://www.amazon.com/dp/B0BDLBYQ4G
B0GQBGFCJ8,"Lenovo ThinkBook 16 Gen 8 Business Laptop 2026, 16"" WUXGA, Intel Core 5 210H 8-Core (Beats i5-13420H), 16GB DDR5 RAM, 512GB PCIe Gen4 SSD, FPReader, Cam, RJ45, Wi-Fi 6E, Backlit Keyboard, Win 11 Pro",33598.0,1765910.88,global_to_egp_images/B0GQBGFCJ8.jpg,https://www.amazon.com/dp/B0GQBGFCJ8
B0F2K23VJD,"Dell 16 Plus Laptop DB16250-16.0-inch 16:10 2.5K (2560x1600) Display, Intel Core Ultra 9 288V, 32GB LPDDR5X Memory, 2TB SSD, Arc Graphics, Backlit Copilot Key Keyboard, Windows 11 Home",N/A,N/A,global_to_egp_images/B0F2K23VJD.jpg,https://www.amazon.com/dp/B0F2K23VJD
B0GLYWYJ12,"Lenovo ThinkPad E16 AI Business Laptop | Intel Ultra 5 225H (up to 4.9GHz) | 16GB DDR5, 1TB NVMe SSD | 16” WUXGA IPS | Triple 4K Display Supported | Thunderbolt 4 | Fingerprint Security | Win 11 Pro",N/A,N/A,global_to_egp_images/B0GLYWYJ12.jpg,https://www.amazon.com/dp/B0GLYWYJ12
B0D1D5J1J1,"Lenovo Gen 12 ThinkPad X1 Carbon Laptop with Intel Ultra 7 165U vPro Processor, 14"" WUXGA 100% sRGB Touchscreen, 32GB 6400MHz RAM, 1TB Gen4 Performance SSD, FHD+ IR+ RGB Camera, and Windows 11 Pro",89383.0,4697970.48,global_to_egp_images/B0D1D5J1J1.jpg,https://www.amazon.com/dp/B0D1D5J1J1
B0FTQ7BGV3,"Lenovo IdeaPad Business Laptop, 15.6"" FHD Touchscreen Display, Intel 13th 10-Core i5 CPU (Up to 4.6 GHz), 16GB RAM, 512B SSD, Copilot AI Ready, Wi-Fi 6, Windows 11 Pro with Microsoft Office, WOWPC USB",N/A,N/A,global_to_egp_images/B0FTQ7BGV3.jpg,https://www.amazon.com/dp/B0FTQ7BGV3
B0FVWJZQ14,"Lenovo ThinkPad E16 Gen 3 i Business Laptop – 16"" WUXGA Display – Intel Core Ultra 5 225U – 32GB RAM – 1TB SSD – Windows 11 Pro – Dolby Atmos Audio – Wi-Fi 6E – Backlit Keyboard – Thunderbolt 4",N/A,N/A,global_to_egp_images/B0FVWJZQ14.jpg,https://www.amazon.com/dp/B0FVWJZQ14
B0G4F5WYQ7,"Lenovo ThinkPad E16 Gen 3 AI Business Laptop 16"" IPS FHD+ Display (AMD Ryzen 5 230 (> Ryzen 5 7535U), 16GB DDR5, 512GB SSD, Fingerprint, Backlit, Thunderbolt 4, 5MP RGB Webcam, Win11Pro) w/Copilot",N/A,N/A,global_to_egp_images/B0G4F5WYQ7.jpg,https://www.amazon.com/dp/B0G4F5WYQ7
B0FY56DG35,"NIMO 15.6"" FHD IPS Laptop, Core i3-1215U(Beats i5-1135G7, Matches i7-1165G7), 8GB RAM 256GB SSD, Backlit Keyboard, Fingerprint Reader, WiFi 6, Thin & Lightweight Laptop for Students, Home & Business",N/A,N/A,global_to_egp_images/B0FY56DG35.jpg,https://www.amazon.com/dp/B0FY56DG35
B0GRGKY3DN,"HP 15.6 Touchscreen Laptop Windows 11 Pro, Intel 8-Core i3-N305 CPU, 15.6 FHD Touch, 16GB RAM, 512GB SSD, Fast Charge, Wi-Fi 6, HD Camera, Student & Business, Moonlight Blue,W/REDRAGON Accessories",N/A,N/A,global_to_egp_images/B0GRGKY3DN.jpg,https://www.amazon.com/dp/B0GRGKY3DN
B0DT7FC9B7,"acer Aspire Go 15 AI Ready Laptop | 15.6"" FHD (1920 x 1080) IPS Display | Intel Core 3 Processor N355 | Intel Graphics | 8GB DDR5 | 128GB UFS | Wi-Fi 6 | Windows 11 Home in S Mode | AG15-32P-39R2",18139.0,953385.84,global_to_egp_images/B0DT7FC9B7.jpg,https://www.amazon.com/dp/B0DT7FC9B7
B0FQ66D53B,"Lenovo 14 G4 - Laptop for Business - Intel Core i7-13620H - 14"" FHD Display - 8GB RAM (upgradable to 16GB) - 256GB Storage (upgradable to 1TB) - Windows 11 Home - Thin & Portable - Business Black",26289.0,1381749.84,global_to_egp_images/B0FQ66D53B.jpg,https://www.amazon.com/dp/B0FQ66D53B
B0G6FX1NLY,"Lenovo IdeaPad 3i 15.6"" FHD Chromebook Laptop, Intel Celeron, 4GB RAM, 64GB eMMC Storage, Wi-Fi 6, SD Card Reader, Chrome OS, SageNova Earphones, Arctic Grey",N/A,N/A,global_to_egp_images/B0G6FX1NLY.jpg,https://www.amazon.com/dp/B0G6FX1NLY
