name,price,rating,image_url,image_path,category,source
"KENWOOD Hand Mixer (Electric Whisk) With 5 Speeds + Turbo Button, Twin Stainless Steel Kneader And Beater For Mixing, Whipping, Whisking, Kneading 0 L 450 W HMP30.A0WH White","2,399",4.539,https://f.nooncdn.com/p/v1648208122/N48624843A_1.jpg?width=800,product_images/KENWOOD Hand Mixer Electric Whisk With 5 Speeds  T.jpg,home appliances,Noon
"Sokany SK-12003 1500W Hand Hield Clothes Steam Iron, 260 ml Size, 1 Year Warranty","1,563",4.737,https://f.nooncdn.com/p/pzsku/Z7DDF3E5F00F0F9268D9AZ/45/1748784812/fcdacc77-5509-41b5-8ffd-1a634f0f3aa9.jpg?width=800,product_images/Sokany SK12003 1500W Hand Hield Clothes Steam Iron.jpg,home appliances,Noon
KENWOOD 3-In-1 Sandwich Maker 750 W SMM01.A0BK Black/Silver,"2,226",4.5130,https://f.nooncdn.com/p/pnsku/N37823084A/45/_/1766380647/fc1760f1-741e-4f1e-b078-31d46c3ecd90.jpg?width=800,product_images/KENWOOD 3In1 Sandwich Maker 750 W SMM01A0BK BlackS.jpg,home appliances,Noon
"MIENTA Chopper, 500ML Liter, 450 Watt","1,149",4.36,https://f.nooncdn.com/p/pzsku/ZBD7E4E3A3E9169DDA3C2Z/45/1746965091/206e3880-f6b8-4354-a8af-71c67eaaa852.jpg?width=800,product_images/MIENTA Chopper 500ML Liter 450 Watt.jpg,home appliances,Noon
"SHARP Air Fryer Dual Cook, Glass Touch Screen, 12 Auto Menus, Sync Finish & Dual Cook Functions, Healthy Oil-Free Cooking with Rapid Air Technology - 8 L 1800 W KF-DF80RT-EK2 Stainless Steel","11,729",5.02,https://f.nooncdn.com/p/pnsku/N70207901V/45/_/1756288423/ea8d5078-db4f-4dc3-a2f0-db56658f63cd.jpg?width=800,product_images/SHARP Air Fryer Dual Cook Glass Touch Screen 12 Au.jpg,home appliances,Noon
Fresh black plastic kettle 1.7 litres,850,4.3192,https://f.nooncdn.com/p/pzsku/Z4036ED5FBB8DD371C960Z/45/_/1727450928/195c611f-b47c-4fea-a4e0-2e1dd52e4917.jpg?width=800,product_images/Fresh black plastic kettle 17 litres.jpg,home appliances,Noon
Bergen BY90 Top-Load Freestanding Water Dispenser - Silver,"8,040",4.01,https://f.nooncdn.com/p/pzsku/ZA3124D156B21CD1A710DZ/45/1752846350/d402448a-bdb4-4a98-9813-1db19f269431.jpg?width=800,product_images/Bergen BY90 TopLoad Freestanding Water Dispenser  .jpg,home appliances,Noon
Home Egypt Digital Stainless kettle 1850 Watt 1.7 Liter - k 434,"1,575",0.0,https://f.nooncdn.com/p/pzsku/ZB867BAC3E2A54D94681CZ/45/_/1773520131/75bfd2a6-71a9-434c-9431-6725d0ed3c77.jpg?width=800,product_images/Home Egypt Digital Stainless kettle 1850 Watt 17 L.jpg,home appliances,Noon
"Tefal Compact Power Vacuum Cleaner, Bagless,  1.5L Capacity, 2000 W TW3751EG Black / Blue","5,567",4.733,https://f.nooncdn.com/p/pnsku/N70014588V/45/_/1748273693/6f09c4fc-4220-4e71-8a5b-a3c656be6f8b.jpg?width=800,product_images/Tefal Compact Power Vacuum Cleaner Bagless  15L Ca.jpg,home appliances,Noon
هوم HOME Plastic kettle K520 1.7 LTR 1850 W,994,0.0,https://f.nooncdn.com/p/pzsku/Z903011CA70DA6F76EFA8Z/45/_/1773521713/c02c7495-9bf8-4cbf-80d5-46127cd8820f.jpg?width=800,product_images/هوم HOME Plastic kettle K520 17 LTR 1850 W.jpg,home appliances,Noon
