name,price,rating,image_url,image_path,source
"ASUS TUF F15 FX507ZC4-HN083W (Upgraded Version) Laptop With 15.6-Inch Display, Core i5-12500H Processor/16GB RAM/512GB SSD/4GB Nvidia Geforce RTX 3050 Graphics Card/Windows 11 Home  Mecha Gray English/Arabic Mecha Gray (Upgraded Version)","71,025",4.4146,https://f.nooncdn.com/p/pnsku/N70046195V/45/_/1766380568/5fc99b00-72bd-41a3-9dac-01966caab955.jpg?width=800,product_images/ASUS TUF F15 FX507ZC4HN083W Upgraded Version Lapto.jpg,Noon
"HP (Upgraded Version) 15-dy1036nr Laptop With 15.6-Inch Display,Core i5-1035G1 Processor/8GB RAM/256GB SSD/Intel UHD Graphics/Windows 10 home English Silver","63,750",0.0,https://f.nooncdn.com/p/v1692329599/N53429636A_1.jpg?width=800,product_images/HP Upgraded Version 15dy1036nr Laptop With 156Inch.jpg,Noon
"Lenovo Ideapad Slim 3 (Upgraded Version) Laptop With 15.6-Inch Full HD Display, Core i5-13420H Processor/8GB RAM/512GB SSD/Intel UHD Graphics/Windows 11/ English/Arabic Arctic Grey","29,999",4.250,https://f.nooncdn.com/p/pnsku/N70120081V/45/_/1729079237/bad3de9d-c15b-4096-90b7-0247d945474a.jpg?width=800,product_images/Lenovo Ideapad Slim 3 Upgraded Version Laptop With.jpg,Noon
"HP 15 Business (Upgraded Version) Laptop With 15.6-inch Display, Core i5-1135G7 Processor/12GB RAM/512GB SSD/Intel Iris XE Graphics/Windows 11 Pro + 32GB Tela USB Card English/Arabic Silver","62,750",0.0,https://f.nooncdn.com/p/pnsku/N70215676V/45/_/1757936492/9ece09ff-cd62-4d03-9f65-c9772cee9350.jpg?width=800,product_images/HP 15 Business Upgraded Version Laptop With 156inc.jpg,Noon
"ASUS ROG Zephyrus G14 GA402NU-7161G Gaming Laptop With 14-Inch Display, AMD Ryzen 7-7735HS Processor/16GB RAM/1TB SSD/6GB NVIDIA GeForce RTX 4050 Graphics Card/Windows 11 Home English/Arabic Eclipse Gray","146,775",0.0,https://f.nooncdn.com/p/pnsku/N70063097V/45/_/1723126101/d46fdcfd-ab16-47a4-a6ac-383c04e77f35.jpg?width=800,product_images/ASUS ROG Zephyrus G14 GA402NU7161G Gaming Laptop W.jpg,Noon
"HP Envy X360 14-es1023dx (Upgraded Version) Touchscreen Laptop With 14-Inch FHD IPS Display, Core 7-150U Processor/16GB RAM/ 512GB SSD/Intel Iris Xe Graphics/Windows 11 English/Arabic silver","80,400",0.0,https://f.nooncdn.com/p/pnsku/N70216025V/45/_/1757936875/1ece1e4b-4e63-4c27-8104-06f4e93a8b5c.jpg?width=800,product_images/HP Envy X360 14es1023dx Upgraded Version Touchscre.jpg,Noon
"ASUS (Upgraded Version) ROG Strix G16 Gaming Laptop 16"" WUXGA 165Hz Intel Core i9-13980HX 16GB DDR5 1TB SSD NVIDIA GeForce RTX 4060 8GB English Gray","138,725",5.02,https://f.nooncdn.com/p/pnsku/N70096519V/45/_/1722333640/a1fcab25-317d-4222-a9cf-8fb0e9591fb4.jpg?width=800,product_images/ASUS Upgraded Version ROG Strix G16 Gaming Laptop .jpg,Noon
"HP (Upgraded Version) ProBook 450 G10 Laptop With 15.6-Inch diagonal FHD IPS Touch Screen Display, Core i5-1335U Processor/32GB RAM/1TB SSD/Intel UHD Graphics/Windows 11 / Pike English/Arabic Pike Silver","83,250",0.0,https://f.nooncdn.com/p/pnsku/N70142070V/45/_/1736514801/6cceaff6-f1fa-4cd7-90bd-1d6274049872.jpg?width=800,product_images/HP Upgraded Version ProBook 450 G10 Laptop With 15.jpg,Noon
"HP (Upgraded Version) EliteBook 840 G9 Laptop With 14-Inch FHD Display, Core i7-1255U Processor/32GB RAM/2TB SSD/Intel Iris Xe Graphics/Windows 11 Pro / English/Arabic Silver","39,000",3.340,https://f.nooncdn.com/p/v1672938374/N53375728A_1.jpg?width=800,product_images/HP Upgraded Version EliteBook 840 G9 Laptop With 1.jpg,Noon
"DELL Latitude 5520 (Upgraded Version) Laptop With 15.6-Inch FHD Display, Core i5-1135G7 Processor/8GB RAM/512GB SSD/DOS(Without Windows)/Intel Iris Xe Graphics English/Arabic Black","28,000",4.01,https://f.nooncdn.com/p/v1667226665/N53360617A_1.jpg?width=800,product_images/DELL Latitude 5520 Upgraded Version Laptop With 15.jpg,Noon
